date,type,breakdown,transaction_volume,transaction_nominal
1/5/2022,UE Non-Bank,Pembayaran,,
1/6/2022,UE Non-Bank,Pembayaran,,
1/7/2022,UE Non-Bank,Pembayaran,,
1/8/2022,UE Non-Bank,Pembayaran,,
1/9/2022,UE Non-Bank,Pembayaran,,
1/10/2022,UE Non-Bank,Pembayaran,,
1/11/2022,UE Non-Bank,Pembayaran,,
1/12/2022,UE Non-Bank,Pembayaran,,
1/1/2023,UE Non-Bank,Pembayaran,,
1/2/2023,UE Non-Bank,Pembayaran,,
1/3/2023,UE Non-Bank,Pembayaran,,
1/4/2023,UE Non-Bank,Pembayaran,,
1/5/2023,UE Non-Bank,Pembayaran,,
1/6/2023,UE Non-Bank,Pembayaran,,
1/7/2023,UE Non-Bank,Pembayaran,,
1/8/2023,UE Non-Bank,Pembayaran,,
1/9/2023,UE Non-Bank,Pembayaran,,
1/1/2019,UE Non-Bank,Transfer Rekening,,
1/2/2019,UE Non-Bank,Transfer Rekening,,
1/3/2019,UE Non-Bank,Transfer Rekening,,
1/4/2019,UE Non-Bank,Transfer Rekening,,
1/5/2019,UE Non-Bank,Transfer Rekening,,
1/6/2019,UE Non-Bank,Transfer Rekening,,
1/7/2019,UE Non-Bank,Transfer Rekening,,
1/8/2019,UE Non-Bank,Transfer Rekening,,
1/9/2019,UE Non-Bank,Transfer Rekening,,
1/10/2019,UE Non-Bank,Transfer Rekening,,
1/11/2019,UE Non-Bank,Transfer Rekening,,
1/12/2019,UE Non-Bank,Transfer Rekening,,
1/1/2020,UE Non-Bank,Transfer Rekening,,
1/2/2020,UE Non-Bank,Transfer Rekening,,
1/3/2020,UE Non-Bank,Transfer Rekening,,
1/4/2020,UE Non-Bank,Transfer Rekening,,
1/5/2020,UE Non-Bank,Transfer Rekening,,
1/6/2020,UE Non-Bank,Transfer Rekening,,
1/7/2020,UE Non-Bank,Transfer Rekening,,
1/8/2020,UE Non-Bank,Transfer Rekening,,
1/9/2020,UE Non-Bank,Transfer Rekening,,
1/10/2020,UE Non-Bank,Transfer Rekening,,
1/11/2020,UE Non-Bank,Transfer Rekening,,
1/12/2020,UE Non-Bank,Transfer Rekening,,
1/1/2021,UE Non-Bank,Transfer Rekening,,
1/2/2021,UE Non-Bank,Transfer Rekening,,
1/3/2021,UE Non-Bank,Transfer Rekening,,
1/4/2021,UE Non-Bank,Transfer Rekening,,
1/5/2021,UE Non-Bank,Transfer Rekening,,
1/6/2021,UE Non-Bank,Transfer Rekening,,
1/7/2021,UE Non-Bank,Transfer Rekening,,
1/8/2021,UE Non-Bank,Transfer Rekening,,
1/9/2021,UE Non-Bank,Transfer Rekening,,
1/10/2021,UE Non-Bank,Transfer Rekening,,
1/11/2021,UE Non-Bank,Transfer Rekening,,
1/12/2021,UE Non-Bank,Transfer Rekening,,
1/1/2022,UE Non-Bank,Transfer Rekening,,
1/2/2022,UE Non-Bank,Transfer Rekening,,
1/3/2022,UE Non-Bank,Transfer Rekening,,
1/4/2022,UE Non-Bank,Transfer Rekening,,
1/5/2022,UE Non-Bank,Transfer Rekening,,
1/6/2022,UE Non-Bank,Transfer Rekening,,
1/7/2022,UE Non-Bank,Transfer Rekening,,
1/8/2022,UE Non-Bank,Transfer Rekening,,
1/9/2022,UE Non-Bank,Transfer Rekening,,
1/10/2022,UE Non-Bank,Transfer Rekening,,
1/11/2022,UE Non-Bank,Transfer Rekening,,
1/12/2022,UE Non-Bank,Transfer Rekening,,
1/1/2023,UE Non-Bank,Transfer Rekening,,
1/2/2023,UE Non-Bank,Transfer Rekening,,
1/3/2023,UE Non-Bank,Transfer Rekening,,
1/4/2023,UE Non-Bank,Transfer Rekening,,
1/5/2023,UE Non-Bank,Transfer Rekening,,
1/6/2023,UE Non-Bank,Transfer Rekening,,
1/7/2023,UE Non-Bank,Transfer Rekening,,
1/8/2023,UE Non-Bank,Transfer Rekening,,
1/9/2023,UE Non-Bank,Transfer Rekening,,
1/1/2019,UE Non-Bank,Transfer Pemerintah,,
1/2/2019,UE Non-Bank,Transfer Pemerintah,,
1/3/2019,UE Non-Bank,Transfer Pemerintah,,
1/4/2019,UE Non-Bank,Transfer Pemerintah,,
1/5/2019,UE Non-Bank,Transfer Pemerintah,,
1/6/2019,UE Non-Bank,Transfer Pemerintah,,
1/7/2019,UE Non-Bank,Transfer Pemerintah,,
1/8/2019,UE Non-Bank,Transfer Pemerintah,,
1/9/2019,UE Non-Bank,Transfer Pemerintah,,
1/10/2019,UE Non-Bank,Transfer Pemerintah,,
1/11/2019,UE Non-Bank,Transfer Pemerintah,,
1/12/2019,UE Non-Bank,Transfer Pemerintah,,
1/1/2020,UE Non-Bank,Transfer Pemerintah,,
1/2/2020,UE Non-Bank,Transfer Pemerintah,,
1/3/2020,UE Non-Bank,Transfer Pemerintah,,
1/4/2020,UE Non-Bank,Transfer Pemerintah,,
1/5/2020,UE Non-Bank,Transfer Pemerintah,,
1/6/2020,UE Non-Bank,Transfer Pemerintah,,
1/7/2020,UE Non-Bank,Transfer Pemerintah,,
1/8/2020,UE Non-Bank,Transfer Pemerintah,,
1/9/2020,UE Non-Bank,Transfer Pemerintah,,
1/10/2020,UE Non-Bank,Transfer Pemerintah,,
1/11/2020,UE Non-Bank,Transfer Pemerintah,,
1/12/2020,UE Non-Bank,Transfer Pemerintah,,
1/1/2021,UE Non-Bank,Transfer Pemerintah,,
1/2/2021,UE Non-Bank,Transfer Pemerintah,,
1/3/2021,UE Non-Bank,Transfer Pemerintah,,
1/4/2021,UE Non-Bank,Transfer Pemerintah,,
1/5/2021,UE Non-Bank,Transfer Pemerintah,,
1/6/2021,UE Non-Bank,Transfer Pemerintah,,
1/7/2021,UE Non-Bank,Transfer Pemerintah,,
1/8/2021,UE Non-Bank,Transfer Pemerintah,,
1/9/2021,UE Non-Bank,Transfer Pemerintah,,
1/10/2021,UE Non-Bank,Transfer Pemerintah,,
1/11/2021,UE Non-Bank,Transfer Pemerintah,,
1/12/2021,UE Non-Bank,Transfer Pemerintah,,
1/1/2022,UE Non-Bank,Transfer Pemerintah,,
1/2/2022,UE Non-Bank,Transfer Pemerintah,,
1/3/2022,UE Non-Bank,Transfer Pemerintah,,
1/4/2022,UE Non-Bank,Transfer Pemerintah,,
1/5/2022,UE Non-Bank,Transfer Pemerintah,,
1/6/2022,UE Non-Bank,Transfer Pemerintah,,
