date,type,breakdown,transaction_volume,transaction_nominal
1/3/2023,UE Bank,Pembayaran,4665289,3.03E+11
1/4/2023,UE Bank,Pembayaran,38828,2.37E+10
1/5/2023,UE Bank,Pembayaran,40035,2.42E+10
1/6/2023,UE Bank,Pembayaran,39553,2.32E+10
1/7/2023,UE Bank,Pembayaran,37101,2.38E+10
1/8/2023,UE Bank,Pembayaran,37863,2.49E+10
1/9/2023,UE Bank,Pembayaran,35522,3.55E+10
1/1/2019,UE Bank,Transfer Rekening,,
1/2/2019,UE Bank,Transfer Rekening,,
1/3/2019,UE Bank,Transfer Rekening,,
1/4/2019,UE Bank,Transfer Rekening,,
1/5/2019,UE Bank,Transfer Rekening,,
1/6/2019,UE Bank,Transfer Rekening,,
1/7/2019,UE Bank,Transfer Rekening,,
1/8/2019,UE Bank,Transfer Rekening,,
1/9/2019,UE Bank,Transfer Rekening,,
1/10/2019,UE Bank,Transfer Rekening,,
1/11/2019,UE Bank,Transfer Rekening,,
1/12/2019,UE Bank,Transfer Rekening,,
1/1/2020,UE Bank,Transfer Rekening,,
1/2/2020,UE Bank,Transfer Rekening,,
1/3/2020,UE Bank,Transfer Rekening,,
1/4/2020,UE Bank,Transfer Rekening,,
1/5/2020,UE Bank,Transfer Rekening,,
1/6/2020,UE Bank,Transfer Rekening,,
1/7/2020,UE Bank,Transfer Rekening,,
1/8/2020,UE Bank,Transfer Rekening,,
1/9/2020,UE Bank,Transfer Rekening,,
1/10/2020,UE Bank,Transfer Rekening,,
1/11/2020,UE Bank,Transfer Rekening,,
1/12/2020,UE Bank,Transfer Rekening,,
1/1/2021,UE Bank,Transfer Rekening,,
1/2/2021,UE Bank,Transfer Rekening,,
1/3/2021,UE Bank,Transfer Rekening,,
1/4/2021,UE Bank,Transfer Rekening,,
1/5/2021,UE Bank,Transfer Rekening,,
1/6/2021,UE Bank,Transfer Rekening,,
1/7/2021,UE Bank,Transfer Rekening,,
1/8/2021,UE Bank,Transfer Rekening,,
1/9/2021,UE Bank,Transfer Rekening,,
1/10/2021,UE Bank,Transfer Rekening,,
1/11/2021,UE Bank,Transfer Rekening,,
1/12/2021,UE Bank,Transfer Rekening,,
1/1/2022,UE Bank,Transfer Rekening,1400273,2.06E+11
1/2/2022,UE Bank,Transfer Rekening,1232536,1.75E+11
1/3/2022,UE Bank,Transfer Rekening,1413877,2.06E+11
1/4/2022,UE Bank,Transfer Rekening,1487909,2.29E+11
1/5/2022,UE Bank,Transfer Rekening,1595501,2.32E+11
1/6/2022,UE Bank,Transfer Rekening,1508542,2.20E+11
1/7/2022,UE Bank,Transfer Rekening,1528341,2.22E+11
1/8/2022,UE Bank,Transfer Rekening,1610453,2.48E+11
1/9/2022,UE Bank,Transfer Rekening,1642475,2.54E+11
1/10/2022,UE Bank,Transfer Rekening,1693201,2.48E+11
1/11/2022,UE Bank,Transfer Rekening,1703753,2.65E+11
1/12/2022,UE Bank,Transfer Rekening,1948072,3.19E+11
1/1/2023,UE Bank,Transfer Rekening,2055719,3.34E+11
1/2/2023,UE Bank,Transfer Rekening,1793848,2.91E+11
1/3/2023,UE Bank,Transfer Rekening,1991743,3.34E+11
1/4/2023,UE Bank,Transfer Rekening,2122892,3.70E+11
1/5/2023,UE Bank,Transfer Rekening,2080338,3.57E+11
1/6/2023,UE Bank,Transfer Rekening,2089804,3.64E+11
1/7/2023,UE Bank,Transfer Rekening,2210746,3.92E+11
1/8/2023,UE Bank,Transfer Rekening,2247896,3.84E+11
1/9/2023,UE Bank,Transfer Rekening,2172402,3.76E+11
1/1/2019,UE Bank,Transfer Pemerintah,,
1/2/2019,UE Bank,Transfer Pemerintah,,
1/3/2019,UE Bank,Transfer Pemerintah,,
1/4/2019,UE Bank,Transfer Pemerintah,,
1/5/2019,UE Bank,Transfer Pemerintah,,
1/6/2019,UE Bank,Transfer Pemerintah,,
1/7/2019,UE Bank,Transfer Pemerintah,,
1/8/2019,UE Bank,Transfer Pemerintah,,
1/9/2019,UE Bank,Transfer Pemerintah,,
1/10/2019,UE Bank,Transfer Pemerintah,,
1/11/2019,UE Bank,Transfer Pemerintah,,
1/12/2019,UE Bank,Transfer Pemerintah,,
1/1/2020,UE Bank,Transfer Pemerintah,,
1/2/2020,UE Bank,Transfer Pemerintah,,
1/3/2020,UE Bank,Transfer Pemerintah,,
1/4/2020,UE Bank,Transfer Pemerintah,,
1/5/2020,UE Bank,Transfer Pemerintah,,
1/6/2020,UE Bank,Transfer Pemerintah,,
1/7/2020,UE Bank,Transfer Pemerintah,,
1/8/2020,UE Bank,Transfer Pemerintah,,
1/9/2020,UE Bank,Transfer Pemerintah,,
1/10/2020,UE Bank,Transfer Pemerintah,,
1/11/2020,UE Bank,Transfer Pemerintah,,
1/12/2020,UE Bank,Transfer Pemerintah,,
1/1/2021,UE Bank,Transfer Pemerintah,,
1/2/2021,UE Bank,Transfer Pemerintah,,
1/3/2021,UE Bank,Transfer Pemerintah,,
1/4/2021,UE Bank,Transfer Pemerintah,,
1/5/2021,UE Bank,Transfer Pemerintah,,
1/6/2021,UE Bank,Transfer Pemerintah,,
1/7/2021,UE Bank,Transfer Pemerintah,,
1/8/2021,UE Bank,Transfer Pemerintah,,
1/9/2021,UE Bank,Transfer Pemerintah,,
1/10/2021,UE Bank,Transfer Pemerintah,,
1/11/2021,UE Bank,Transfer Pemerintah,,
1/12/2021,UE Bank,Transfer Pemerintah,,
1/1/2022,UE Bank,Transfer Pemerintah,9292009,1.86E+14
1/2/2022,UE Bank,Transfer Pemerintah,9204514,1.85E+14
1/3/2022,UE Bank,Transfer Pemerintah,6331526,1.27E+14
1/4/2022,UE Bank,Transfer Pemerintah,5991205,1.2E+14
1/5/2022,UE Bank,Transfer Pemerintah,,
1/6/2022,UE Bank,Transfer Pemerintah,,
1/7/2022,UE Bank,Transfer Pemerintah,,
1/8/2022,UE Bank,Transfer Pemerintah,6336147,2.53E+14
1/9/2022,UE Bank,Transfer Pemerintah,6460896,6460896
1/10/2022,UE Bank,Transfer Pemerintah,6502441,6502441
1/11/2022,UE Bank,Transfer Pemerintah,6502097,6502097
1/12/2022,UE Bank,Transfer Pemerintah,6501954,6501954
1/1/2023,UE Bank,Transfer Pemerintah,6501954,6501954
1/2/2023,UE Bank,Transfer Pemerintah,6501951,6501951
1/3/2023,UE Bank,Transfer Pemerintah,4626557,4626557
1/4/2023,UE Bank,Transfer Pemerintah,,
1/5/2023,UE Bank,Transfer Pemerintah,,
1/6/2023,UE Bank,Transfer Pemerintah,,
1/7/2023,UE Bank,Transfer Pemerintah,,
1/8/2023,UE Bank,Transfer Pemerintah,,
1/9/2023,UE Bank,Transfer Pemerintah,,
1/1/2019,UE Bank,Top Up,18924911,4.40E+13
1/2/2019,UE Bank,Top Up,19244622,4.16E+13
1/3/2019,UE Bank,Top Up,20084026,1.69E+13
1/4/2019,UE Bank,Top Up,20144197,1.39E+13
1/5/2019,UE Bank,Top Up,22614590,4.77E+13
