date,type,breakdown,transaction_volume,transaction_nominal
1/8/2022,Credit,Belanja,27894983,2.64E+13
1/9/2022,Credit,Belanja,26606383,2.59E+13
1/10/2022,Credit,Belanja,27912649,2.63E+13
1/11/2022,Credit,Belanja,28294265,2.78E+13
1/12/2022,Credit,Belanja,30242683,3.16E+13
1/1/2023,Credit,Belanja,30154669,2.99E+13
1/2/2023,Credit,Belanja,27251713,2.91E+13
1/3/2023,Credit,Belanja,30251556,3.22E+13
1/4/2023,Credit,Belanja,28743008,2.89E+13
1/5/2023,Credit,Belanja,30400681,3.09E+13
1/6/2023,Credit,Belanja,30126346,3.16E+13
1/7/2023,Credit,Belanja,32681392,3.39E+13
1/8/2023,Credit,Belanja,32023010,3.21E+13
1/9/2023,Credit,Belanja,31573239,3.11E+13
1/1/2019,Credit,Bill Payment,,
1/2/2019,Credit,Bill Payment,,
1/3/2019,Credit,Bill Payment,,
1/4/2019,Credit,Bill Payment,,
1/5/2019,Credit,Bill Payment,,
1/6/2019,Credit,Bill Payment,,
1/7/2019,Credit,Bill Payment,,
1/8/2019,Credit,Bill Payment,,
1/9/2019,Credit,Bill Payment,,
1/10/2019,Credit,Bill Payment,,
1/11/2019,Credit,Bill Payment,,
1/12/2019,Credit,Bill Payment,,
1/1/2020,Credit,Bill Payment,,
1/2/2020,Credit,Bill Payment,,
1/3/2020,Credit,Bill Payment,,
1/4/2020,Credit,Bill Payment,,
1/5/2020,Credit,Bill Payment,,
1/6/2020,Credit,Bill Payment,,
1/7/2020,Credit,Bill Payment,,
1/8/2020,Credit,Bill Payment,,
1/9/2020,Credit,Bill Payment,,
1/10/2020,Credit,Bill Payment,,
1/11/2020,Credit,Bill Payment,,
1/12/2020,Credit,Bill Payment,,
1/1/2021,Credit,Bill Payment,,
1/2/2021,Credit,Bill Payment,,
1/3/2021,Credit,Bill Payment,,
1/4/2021,Credit,Bill Payment,,
1/5/2021,Credit,Bill Payment,,
1/6/2021,Credit,Bill Payment,,
1/7/2021,Credit,Bill Payment,,
1/8/2021,Credit,Bill Payment,,
1/9/2021,Credit,Bill Payment,,
1/10/2021,Credit,Bill Payment,,
1/11/2021,Credit,Bill Payment,,
1/12/2021,Credit,Bill Payment,,
1/1/2022,Credit,Bill Payment,1605849,1.15E+12
1/2/2022,Credit,Bill Payment,1827589,1.22E+12
1/3/2022,Credit,Bill Payment,1664629,1.26E+12
1/4/2022,Credit,Bill Payment,1547288,1.16E+12
1/5/2022,Credit,Bill Payment,1525443,1.15E+12
1/6/2022,Credit,Bill Payment,1623702,1.24E+12
1/7/2022,Credit,Bill Payment,1580563,1.21E+12
1/8/2022,Credit,Bill Payment,1586476,1.25E+12
1/9/2022,Credit,Bill Payment,1553250,1.25E+12
1/10/2022,Credit,Bill Payment,1486154,1.28E+12
1/11/2022,Credit,Bill Payment,1426352,1.28E+12
1/12/2022,Credit,Bill Payment,1484411,1.38E+12
1/1/2023,Credit,Bill Payment,1490170,1.34E+12
1/2/2023,Credit,Bill Payment,1488648,1.38E+12
1/3/2023,Credit,Bill Payment,1467056,1.42E+12
1/4/2023,Credit,Bill Payment,1383286,1.31E+12
1/5/2023,Credit,Bill Payment,1350570,1.37E+12
1/6/2023,Credit,Bill Payment,1327655,1.38E+12
1/7/2023,Credit,Bill Payment,1386238,1.46E+12
1/8/2023,Credit,Bill Payment,1392099,1.55E+12
1/9/2023,Credit,Bill Payment,1345340,1.55E+12
